State,Crop,Season,Area,Annual_Rainfall,Fertilizer,Yield
Karnataka,cumin,Zaid,2.3,2940.53,289.25,44.83
Tamil Nadu,maize,Zaid,8.43,1923.54,258.01,53.06
Rajasthan,coffee,Zaid,14.23,923.52,197.96,34.07
Karnataka,cotton,Rabi,17.97,1867.53,163.29,38.86
Assam,coriander,Zaid,18.16,2607.68,186.98,44.69
Tamil Nadu,rice,Rabi,6.29,458.77,42.94,38.85
Madhya Pradesh,millet,Zaid,6.92,2821.81,106.28,45.95
Kerala,millet,Rabi,8.94,324.75,344.79,33.45
Haryana,millet,Zaid,5.7,837.38,112.27,33.63
Assam,wheat,Kharif,14.65,711.15,199.36,41.66
Madhya Pradesh,sugarcane,Kharif,18.7,616.96,68.76,75.86
Kerala,maize,Rabi,2.33,2442.03,120.46,51.41
Rajasthan,sugarcane,Zaid,14.4,2868.49,348.53,103.46
Assam,coffee,Kharif,10.34,2508.44,104.42,37.89
Kerala,cumin,Rabi,11.79,1407.09,238.25,32.72
Maharashtra,ginger,Kharif,17.52,1246.42,138.49,39.18
Telangana,turmeric,Zaid,10.17,2001.98,208.17,45.53
Andhra Pradesh,coriander,Rabi,19.22,972.36,148.93,35.75
Madhya Pradesh,pulses,Kharif,6.97,959.02,333.56,36.9
Kerala,cotton,Kharif,17.78,2166.29,342.5,47.42
Andhra Pradesh,coriander,Zaid,4.07,2112.0,163.84,45.53
Madhya Pradesh,coriander,Rabi,2.01,2129.5,227.15,45.81
West Bengal,wheat,Kharif,1.28,2685.2,349.66,59.89
Haryana,cumin,Rabi,5.53,1976.63,346.21,42.9
Telangana,rice,Zaid,18.54,2971.17,279.38,67.22
Tamil Nadu,rice,Rabi,11.45,2215.04,160.33,54.28
Assam,sugarcane,Kharif,3.97,579.29,59.16,78.7
Madhya Pradesh,maize,Zaid,9.3,2667.51,81.51,53.71
Bihar,pulses,Kharif,11.33,2650.76,279.5,44.5
Rajasthan,wheat,Zaid,4.46,346.65,162.67,34.28
Bihar,maize,Kharif,16.66,1799.47,50.37,38.76
Karnataka,coriander,Rabi,7.0,2963.43,317.39,52.94
Bihar,millet,Rabi,11.88,2677.24,133.16,45.05
Punjab,turmeric,Zaid,9.35,2288.87,236.76,49.01
Madhya Pradesh,wheat,Zaid,18.46,2791.2,183.13,53.31
Bihar,cumin,Zaid,2.78,503.48,54.99,21.01
Karnataka,sugarcane,Zaid,19.48,2044.36,129.09,92.67
Uttar Pradesh,cotton,Zaid,19.14,1370.02,217.04,41.7
West Bengal,soybean,Zaid,16.68,1388.63,338.02,49.83
Bihar,tea,Kharif,11.38,944.55,93.1,32.3
Rajasthan,millet,Rabi,11.13,340.99,316.63,37.86
Punjab,tea,Zaid,7.48,849.36,343.04,39.39
Madhya Pradesh,coffee,Kharif,19.62,2132.67,180.49,44.49
Maharashtra,soybean,Kharif,3.72,1743.58,221.08,50.91
Uttar Pradesh,coffee,Zaid,12.13,996.29,85.44,30.87
Odisha,pulses,Zaid,9.63,2021.14,336.44,48.45
Karnataka,rice,Rabi,13.12,1961.47,41.93,42.76
Kerala,cumin,Kharif,15.9,1484.82,224.19,37.07
Andhra Pradesh,cotton,Rabi,8.15,2270.71,103.92,47.54
Rajasthan,wheat,Rabi,14.86,2809.47,293.44,66.35
Rajasthan,pulses,Rabi,10.36,2717.51,269.5,46.18
Maharashtra,chilli,Rabi,1.43,2809.08,317.8,56.16
Rajasthan,wheat,Rabi,3.49,2712.14,204.94,61.43
Tamil Nadu,wheat,Rabi,12.46,1660.8,183.32,48.6
Madhya Pradesh,rice,Kharif,18.78,769.74,224.87,44.24
Bihar,turmeric,Kharif,4.35,565.47,202.86,40.35
Tamil Nadu,turmeric,Rabi,9.92,404.27,43.03,29.18
Maharashtra,tea,Zaid,3.82,1565.06,52.53,35.2
Telangana,millet,Kharif,3.58,964.7,308.39,45.78
Tamil Nadu,rice,Zaid,19.21,1320.17,286.23,50.44
Kerala,cumin,Rabi,7.65,901.35,193.87,34.91
Punjab,cotton,Kharif,9.85,582.96,99.06,27.03
Bihar,ginger,Kharif,5.12,396.74,145.0,28.26
Maharashtra,pulses,Zaid,13.55,1352.92,245.47,35.5
Assam,rice,Kharif,8.59,2438.39,176.99,56.05
Maharashtra,pulses,Kharif,12.09,654.95,259.17,30.33
Andhra Pradesh,chilli,Zaid,9.23,510.16,320.4,39.72
Haryana,millet,Kharif,10.79,2507.77,216.79,46.73
Haryana,ginger,Kharif,17.95,1886.93,70.21,43.69
Bihar,coffee,Zaid,13.89,1818.1,101.34,43.59
Bihar,cotton,Zaid,12.01,2579.9,197.26,48.13
Uttar Pradesh,soybean,Rabi,1.28,2883.15,86.25,48.81
Rajasthan,millet,Rabi,5.3,967.15,133.65,37.69
Maharashtra,coffee,Kharif,16.39,886.36,242.38,32.81
Assam,millet,Rabi,13.97,1895.51,133.25,40.11
Odisha,tea,Kharif,17.85,1600.2,303.95,44.8
Maharashtra,ginger,Rabi,3.42,1878.38,266.88,48.19
Tamil Nadu,groundnut,Kharif,5.76,1234.31,323.21,52.95
Haryana,turmeric,Rabi,5.32,1945.24,266.9,49.89
Odisha,cotton,Kharif,13.73,324.62,93.18,21.86
Karnataka,pulses,Rabi,16.05,2797.36,254.6,49.51
Karnataka,maize,Rabi,8.9,2739.37,348.3,60.83
Rajasthan,turmeric,Rabi,16.24,931.29,112.18,36.62
Odisha,sugarcane,Rabi,19.98,324.88,91.11,77.72
West Bengal,coffee,Kharif,13.16,1384.97,213.06,40.2
Assam,sugarcane,Kharif,13.74,1320.74,41.1,82.88
West Bengal,groundnut,Zaid,0.76,1063.61,345.86,44.42
Tamil Nadu,chilli,Zaid,11.8,2319.43,199.89,44.17
Kerala,chilli,Kharif,1.38,1669.27,271.43,46.41
Rajasthan,coffee,Rabi,17.29,2106.37,116.95,38.92
Maharashtra,rice,Zaid,4.92,2914.16,214.29,58.32
Bihar,maize,Kharif,4.13,726.71,105.42,31.07
Karnataka,millet,Rabi,11.43,1162.43,46.47,27.83
Haryana,sugarcane,Kharif,2.65,2191.06,100.15,94.08
Punjab,ginger,Kharif,16.9,1890.35,97.57,41.76
Tamil Nadu,chilli,Rabi,12.45,711.6,310.13,38.52
Tamil Nadu,ginger,Zaid,2.96,2735.51,285.55,60.94
Odisha,turmeric,Zaid,11.47,833.85,114.08,38.37
Bihar,wheat,Kharif,12.93,387.5,106.01,35.74
Kerala,wheat,Rabi,11.53,1219.01,153.77,41.77
Bihar,millet,Kharif,19.94,2138.97,285.71,48.26
Haryana,tea,Kharif,9.41,1122.65,274.96,42.27
Odisha,groundnut,Zaid,1.55,1695.8,280.07,52.41
Uttar Pradesh,millet,Kharif,8.77,2437.77,269.73,55.89
West Bengal,cumin,Rabi,7.32,2792.52,280.55,44.53
Andhra Pradesh,coriander,Rabi,17.27,1649.67,346.9,47.79
Uttar Pradesh,tea,Rabi,14.56,1844.42,160.76,43.42
West Bengal,coffee,Zaid,17.85,1335.92,175.75,38.61
Punjab,soybean,Kharif,4.41,1184.5,179.36,39.69
Madhya Pradesh,maize,Rabi,7.94,651.09,333.22,40.44
Telangana,sugarcane,Zaid,10.19,837.57,180.94,85.05
Punjab,cotton,Rabi,10.85,988.56,75.23,27.23
Odisha,cumin,Zaid,3.98,1344.95,59.63,31.11
Bihar,chilli,Kharif,17.35,419.51,318.93,38.83
Madhya Pradesh,tea,Rabi,12.43,2276.54,85.26,42.19
Odisha,rice,Zaid,7.17,1927.89,85.06,51.18
Assam,groundnut,Rabi,3.99,1293.26,47.02,39.74
West Bengal,coffee,Rabi,4.68,711.05,246.17,34.09
Karnataka,sugarcane,Rabi,13.68,1495.05,63.94,81.65
Telangana,millet,Zaid,9.6,2089.4,222.88,41.93
West Bengal,groundnut,Zaid,14.22,498.24,226.55,40.54
Tamil Nadu,cotton,Zaid,17.97,424.17,180.36,27.95
Kerala,coriander,Zaid,13.09,2443.85,106.14,37.89
Assam,wheat,Rabi,15.32,1723.17,240.64,48.22
Haryana,coffee,Rabi,14.24,1235.62,315.59,42.67
Bihar,chilli,Zaid,4.47,1336.65,88.52,34.77
Karnataka,cumin,Rabi,10.68,1390.3,169.27,32.63
Madhya Pradesh,ginger,Rabi,0.9,1477.49,82.64,45.28
West Bengal,sugarcane,Rabi,9.27,2382.01,286.79,99.73
Telangana,coriander,Zaid,9.27,2644.04,124.19,45.01
Bihar,pulses,Rabi,1.95,2691.69,267.42,53.58
Maharashtra,wheat,Kharif,19.57,853.3,154.25,40.93
Maharashtra,maize,Kharif,3.83,847.03,253.22,45.53
Odisha,rice,Rabi,15.34,2060.21,338.51,56.34
Andhra Pradesh,millet,Kharif,19.64,2786.62,206.41,49.53
Andhra Pradesh,tea,Rabi,19.45,537.84,70.04,24.53
Madhya Pradesh,rice,Zaid,16.26,952.56,255.17,49.05
Bihar,ginger,Zaid,8.98,832.61,112.1,39.68
Tamil Nadu,maize,Rabi,18.73,394.9,165.89,30.7
Kerala,groundnut,Kharif,3.77,770.57,54.96,35.29
Assam,turmeric,Rabi,19.75,596.21,340.17,45.83
Bihar,turmeric,Rabi,13.66,2657.68,154.38,54.61
Uttar Pradesh,maize,Kharif,5.7,1888.97,328.05,55.38
Tamil Nadu,coffee,Kharif,5.15,775.46,346.06,38.85
Maharashtra,maize,Zaid,15.64,794.43,293.92,43.84
Bihar,coriander,Rabi,4.62,1377.9,274.84,40.18
Uttar Pradesh,pulses,Zaid,3.99,2518.57,269.31,41.8
West Bengal,chilli,Rabi,7.27,2642.7,147.71,49.46
Assam,coffee,Rabi,17.97,1936.27,194.48,46.03
Haryana,groundnut,Zaid,15.25,460.46,232.33,43.7
Haryana,coffee,Kharif,5.36,1916.69,305.08,44.24
Punjab,cumin,Zaid,0.62,2542.35,241.43,44.61
Bihar,pulses,Zaid,17.71,1001.41,42.02,27.55
Uttar Pradesh,soybean,Rabi,8.8,1062.37,156.73,39.44
Odisha,coriander,Zaid,5.87,1353.09,153.96,33.89
Kerala,soybean,Zaid,6.33,1847.37,308.39,50.22
Andhra Pradesh,coriander,Rabi,16.1,798.93,157.74,32.12
Assam,groundnut,Kharif,18.71,1088.86,299.78,46.56
Assam,ginger,Zaid,11.37,2687.93,268.37,51.61
Maharashtra,cumin,Kharif,2.55,1575.45,311.54,37.43
Rajasthan,sugarcane,Rabi,2.53,695.98,291.37,90.31
Madhya Pradesh,pulses,Rabi,19.62,1004.07,65.44,24.11
Odisha,chilli,Zaid,3.36,2524.73,238.94,53.03
Andhra Pradesh,coriander,Kharif,2.53,594.18,269.18,34.15
West Bengal,millet,Kharif,6.28,788.8,170.45,31.48
Andhra Pradesh,tea,Rabi,1.97,2595.14,252.62,49.08
Madhya Pradesh,tea,Zaid,8.63,2320.76,204.53,45.91
Haryana,wheat,Rabi,11.28,1980.74,145.65,50.18
Punjab,wheat,Rabi,14.87,1120.7,188.2,46.01
Punjab,rice,Kharif,11.15,1531.6,107.16,48.02
Madhya Pradesh,ginger,Rabi,3.33,1096.7,173.84,40.93
Maharashtra,rice,Rabi,0.77,1902.05,100.74,50.03
Karnataka,wheat,Zaid,10.55,2009.98,74.36,45.81
Karnataka,tea,Kharif,17.12,2476.93,207.28,51.38
Telangana,tea,Zaid,1.81,2407.3,142.63,44.87
Andhra Pradesh,pulses,Rabi,13.09,951.67,234.49,33.79
Andhra Pradesh,cumin,Kharif,0.92,1655.48,109.29,32.6
Rajasthan,millet,Kharif,10.14,1953.26,293.43,44.19
West Bengal,tea,Rabi,1.0,1083.57,51.34,26.68
Maharashtra,turmeric,Rabi,4.63,2497.65,85.65,47.12
Punjab,pulses,Kharif,13.66,2609.86,152.7,41.05
Kerala,ginger,Zaid,15.48,1270.35,312.6,48.74
Rajasthan,pulses,Kharif,0.69,1578.5,338.96,41.39
Odisha,groundnut,Rabi,16.32,2450.51,202.14,54.53
Bihar,rice,Kharif,8.04,1947.58,319.82,53.47
Maharashtra,pulses,Kharif,18.35,2507.49,87.18,36.59
Rajasthan,pulses,Kharif,2.01,1673.7,191.86,35.96
Haryana,sugarcane,Kharif,4.69,494.34,68.69,80.46
Odisha,pulses,Zaid,7.81,1356.71,66.81,24.07
Uttar Pradesh,millet,Zaid,14.6,1651.27,149.7,38.74
Uttar Pradesh,tea,Zaid,15.38,2324.23,254.61,51.48
Kerala,coriander,Zaid,7.3,1372.72,313.9,43.92
Madhya Pradesh,cotton,Rabi,13.23,2918.91,328.99,52.42
Tamil Nadu,millet,Kharif,15.49,1865.36,312.43,44.32
Assam,cumin,Kharif,11.86,2386.43,239.28,42.8
Rajasthan,coffee,Rabi,12.09,2387.51,197.05,47.46
Telangana,coriander,Rabi,8.76,2881.74,171.61,49.77
Haryana,tea,Rabi,2.79,627.29,149.21,36.31
Bihar,rice,Rabi,10.63,1736.23,92.63,45.69
Tamil Nadu,chilli,Rabi,3.46,539.45,126.94,30.09
Rajasthan,soybean,Kharif,5.62,1097.54,127.7,36.13
West Bengal,groundnut,Zaid,8.39,777.86,303.33,40.33
Maharashtra,coffee,Rabi,16.79,605.33,154.79,32.37
Andhra Pradesh,groundnut,Rabi,0.78,943.05,132.77,42.95
West Bengal,pulses,Rabi,5.02,1768.86,103.21,34.73
Kerala,wheat,Rabi,19.92,2938.96,232.69,56.63
Maharashtra,sugarcane,Zaid,18.73,1476.27,54.98,84.63
Haryana,tea,Rabi,2.89,781.26,267.29,41.29
West Bengal,turmeric,Zaid,10.07,558.75,342.32,52.45
Bihar,soybean,Zaid,9.36,1164.23,109.43,34.92
Odisha,groundnut,Zaid,8.51,660.71,78.37,32.85
Telangana,groundnut,Rabi,2.67,1686.09,81.76,45.66
Tamil Nadu,turmeric,Kharif,18.45,614.85,287.91,42.23
Madhya Pradesh,cumin,Zaid,4.3,1185.76,245.79,31.4
Karnataka,wheat,Rabi,13.46,2910.72,260.21,61.7
Punjab,groundnut,Zaid,2.47,1525.03,303.08,52.54
Madhya Pradesh,soybean,Kharif,5.8,1749.81,235.97,50.65
Bihar,tea,Rabi,15.15,1162.47,59.69,30.09
Kerala,sugarcane,Rabi,18.15,1274.79,158.52,89.1
Tamil Nadu,maize,Zaid,2.01,605.81,345.35,43.06
Haryana,coffee,Zaid,2.29,1710.5,100.08,34.32
Punjab,tea,Rabi,19.83,2902.46,157.64,52.26
Bihar,turmeric,Zaid,6.08,1799.28,300.68,49.49
Bihar,wheat,Rabi,17.27,2844.7,290.07,61.78
Andhra Pradesh,wheat,Zaid,18.17,2063.0,207.41,55.14
Madhya Pradesh,chilli,Zaid,11.18,1508.24,46.83,35.64
Odisha,sugarcane,Kharif,14.58,2472.91,348.67,105.17
Karnataka,coriander,Kharif,6.85,1436.81,320.18,42.04
Punjab,wheat,Kharif,3.55,2642.21,218.14,55.27
Uttar Pradesh,sugarcane,Kharif,2.61,2233.52,74.47,89.51
Rajasthan,soybean,Kharif,16.43,414.53,79.65,26.14
Bihar,maize,Zaid,7.66,710.16,304.58,37.41
Haryana,groundnut,Kharif,5.16,2344.17,70.79,39.5
Telangana,rice,Zaid,9.09,2795.1,307.19,65.17
Telangana,ginger,Kharif,13.68,1167.99,218.29,46.08
Karnataka,cotton,Kharif,2.3,2498.78,349.23,50.28
Punjab,sugarcane,Rabi,19.67,425.62,84.93,72.3
Andhra Pradesh,sugarcane,Kharif,18.04,747.88,147.3,83.32
Andhra Pradesh,coffee,Zaid,4.8,2877.04,226.39,51.48
West Bengal,maize,Zaid,14.09,2601.68,70.89,48.06
Maharashtra,coffee,Kharif,2.89,2741.2,167.73,48.92
Maharashtra,coriander,Zaid,15.72,443.92,68.95,27.21
Rajasthan,rice,Rabi,8.38,734.54,240.95,46.15
Madhya Pradesh,wheat,Kharif,5.38,1599.34,347.23,51.54
Telangana,wheat,Kharif,15.89,824.81,191.14,45.93
West Bengal,soybean,Zaid,5.95,1546.55,254.9,54.45
Madhya Pradesh,coriander,Zaid,12.65,1905.77,58.6,33.47
Bihar,wheat,Kharif,8.52,2222.87,342.15,56.63
Odisha,groundnut,Kharif,15.59,933.2,320.59,41.37
Andhra Pradesh,cumin,Rabi,4.14,551.74,296.62,33.6
Punjab,coffee,Rabi,3.52,1569.91,321.22,41.23
Telangana,sugarcane,Kharif,7.2,2968.81,127.2,99.18
West Bengal,turmeric,Kharif,2.93,2274.74,162.96,47.37
Maharashtra,coffee,Zaid,4.93,2374.57,301.09,52.22
West Bengal,rice,Kharif,12.6,675.05,258.8,40.91
Telangana,turmeric,Zaid,10.57,1469.2,135.86,41.25
Haryana,soybean,Rabi,13.34,2596.34,44.29,45.29
Odisha,groundnut,Kharif,10.0,2701.38,247.19,58.73
Karnataka,chilli,Rabi,17.27,2844.68,106.11,41.8
Uttar Pradesh,pulses,Rabi,4.24,329.37,90.98,20.13
Karnataka,chilli,Kharif,6.62,2634.92,243.61,53.14
Rajasthan,coffee,Kharif,6.43,1343.05,147.41,35.06
Telangana,turmeric,Kharif,7.39,2704.61,334.94,61.33
Karnataka,wheat,Kharif,11.26,2020.87,257.71,51.55
Andhra Pradesh,ginger,Zaid,6.83,677.88,249.84,40.19
Punjab,pulses,Rabi,9.95,1359.38,82.23,24.69
Andhra Pradesh,groundnut,Rabi,11.1,1694.22,150.35,43.43
Assam,tea,Kharif,16.76,368.85,285.28,31.63
Telangana,turmeric,Zaid,3.32,2671.08,134.78,48.96
Bihar,millet,Kharif,5.0,2449.97,166.25,42.61
Andhra Pradesh,turmeric,Zaid,1.71,2265.88,50.63,47.39
Bihar,pulses,Kharif,3.21,1719.99,213.15,38.23
Haryana,ginger,Kharif,19.17,1731.62,112.03,44.67
Assam,maize,Kharif,6.32,583.25,312.24,43.83
Haryana,coffee,Rabi,14.75,2650.78,188.36,50.19
Tamil Nadu,pulses,Rabi,5.22,1543.06,282.69,31.22
Tamil Nadu,maize,Zaid,12.32,519.55,287.89,39.52
Karnataka,coriander,Kharif,10.8,345.56,311.31,39.52
Tamil Nadu,coffee,Rabi,11.51,1606.55,241.42,37.22
West Bengal,tea,Zaid,13.67,535.54,228.8,29.81
Tamil Nadu,rice,Kharif,14.81,1699.4,273.26,49.5
Kerala,maize,Zaid,18.06,1385.42,331.58,50.4
Telangana,maize,Rabi,5.24,1201.1,155.81,43.96
Kerala,cotton,Kharif,11.01,2576.75,226.65,45.44
Madhya Pradesh,maize,Rabi,9.75,379.2,199.93,38.68
Telangana,cotton,Rabi,2.42,1302.57,72.16,32.37
Bihar,chilli,Rabi,3.21,2284.91,131.01,44.44
Madhya Pradesh,coriander,Kharif,9.27,1611.48,80.73,38.04
Bihar,rice,Kharif,18.36,1100.05,40.6,38.66
Kerala,cotton,Rabi,10.7,1084.5,161.43,29.84
Kerala,tea,Rabi,7.82,2634.55,48.9,40.57
Assam,turmeric,Kharif,10.87,406.55,318.33,39.51
Telangana,turmeric,Rabi,11.03,2318.52,183.96,54.1
Tamil Nadu,soybean,Zaid,7.06,333.21,119.82,30.51
Kerala,soybean,Rabi,2.86,1784.34,207.59,44.58
Kerala,sugarcane,Kharif,9.44,1458.95,40.26,81.28
Haryana,cumin,Rabi,9.26,2516.31,348.34,46.15
Andhra Pradesh,chilli,Kharif,10.92,2387.04,253.52,49.31
Tamil Nadu,tea,Rabi,10.0,684.07,329.56,37.53
Uttar Pradesh,millet,Rabi,13.42,2659.65,68.94,46.87
Uttar Pradesh,sugarcane,Zaid,12.32,522.93,265.17,87.99
Odisha,cotton,Rabi,11.68,2396.94,300.04,48.88
Odisha,millet,Kharif,19.65,381.55,47.13,23.26
Madhya Pradesh,cumin,Zaid,12.12,1968.03,331.41,41.46
Kerala,ginger,Rabi,3.25,1340.59,76.17,38.5
Telangana,sugarcane,Kharif,13.03,675.82,235.13,89.36
Tamil Nadu,maize,Rabi,9.98,2720.79,57.94,48.67
Karnataka,sugarcane,Zaid,11.51,734.32,306.85,88.59
Kerala,wheat,Kharif,4.84,2337.19,305.8,62.09
Tamil Nadu,maize,Zaid,7.9,2800.88,63.03,50.38
Odisha,chilli,Kharif,10.89,2807.23,42.28,46.71
Assam,pulses,Rabi,12.29,2543.2,178.68,42.87
Punjab,pulses,Kharif,13.35,1771.75,165.68,34.83
Kerala,rice,Rabi,7.89,2882.69,41.55,56.35
Tamil Nadu,chilli,Zaid,13.06,1990.28,220.76,46.16
Odisha,chilli,Kharif,13.71,353.3,40.52,27.79
West Bengal,groundnut,Kharif,15.34,2472.05,290.38,56.79
