N,P,K,temperature,humidity,ph,rainfall,label
82,46,52,28.95,87.32,6.32,229.15,rice
84,50,47,27.17,85.46,6.64,161.28,rice
94,52,44,27.59,89.82,5.89,239.11,rice
87,50,42,29.95,75.88,5.87,297.08,rice
81,59,42,29.54,75.71,6.54,207.97,rice
101,41,49,21.6,77.01,6.9,265.98,rice
113,52,56,23.72,76.79,5.7,280.46,rice
99,49,47,21.11,86.49,6.54,226.37,rice
91,54,51,25.58,86.12,6.93,243.48,rice
108,57,50,26.08,89.9,5.94,195.87,rice
118,53,54,25.01,81.35,5.55,248.57,rice
100,42,46,24.77,83.27,6.39,274.13,rice
118,50,40,22.88,79.04,6.86,181.16,rice
86,49,41,23.97,84.48,6.58,182.32,rice
80,49,59,22.13,75.94,5.91,167.0,rice
95,51,46,26.76,83.28,5.87,164.9,rice
100,46,54,20.15,89.28,5.53,152.41,rice
109,43,47,20.61,81.95,6.33,271.22,rice
88,49,53,24.83,75.39,6.42,246.8,rice
109,55,44,23.06,84.16,5.88,296.92,rice
94,55,43,21.89,70.72,5.95,187.61,rice
105,48,56,22.08,76.42,6.13,269.7,rice
117,56,57,20.69,85.19,6.15,258.85,rice
116,40,46,20.52,76.3,5.6,294.74,rice
116,59,49,28.69,87.58,6.39,229.45,rice
80,43,49,23.83,74.29,5.64,190.53,rice
90,42,51,28.73,89.85,6.24,285.1,rice
96,50,50,24.91,78.76,6.09,250.46,rice
94,47,47,25.82,77.12,5.99,209.38,rice
109,56,52,24.53,78.25,6.36,220.25,rice
102,46,50,24.8,78.75,6.5,229.23,rice
106,55,50,29.84,70.19,6.23,165.78,rice
95,54,42,23.53,76.34,6.01,157.29,rice
80,44,42,23.89,84.5,6.15,263.81,rice
105,55,46,26.23,74.76,6.94,158.39,rice
94,47,44,23.86,73.1,5.88,279.92,rice
82,53,55,24.23,76.7,6.65,212.42,rice
95,57,42,21.21,77.42,6.37,209.63,rice
103,58,40,28.18,78.01,5.73,226.07,rice
115,44,53,24.08,72.42,5.91,239.99,rice
88,42,44,22.22,82.16,5.88,207.18,rice
93,42,56,26.34,80.03,6.81,250.09,rice
86,41,45,22.01,84.2,6.54,244.02,rice
116,51,56,20.42,82.27,6.86,283.63,rice
80,55,58,20.76,87.04,6.78,252.46,rice
117,53,55,29.5,85.2,6.16,221.81,rice
90,58,50,21.09,89.91,6.82,204.61,rice
99,42,49,23.46,77.16,6.56,227.33,rice
101,45,46,21.67,89.23,6.81,250.43,rice
117,41,51,28.51,74.67,6.28,274.55,rice
87,49,54,26.22,85.75,5.8,197.89,rice
88,57,55,29.03,85.94,6.04,192.2,rice
92,48,50,25.45,73.08,5.57,283.35,rice
81,51,59,25.34,72.85,5.64,298.53,rice
113,46,53,23.73,88.58,6.69,161.54,rice
116,52,49,28.71,73.28,6.28,248.71,rice
98,47,49,27.83,74.35,5.89,161.4,rice
91,50,40,23.08,87.35,5.69,269.8,rice
80,55,56,25.24,73.97,6.82,242.24,rice
114,54,45,24.37,77.94,6.81,198.89,rice
114,49,54,22.18,75.94,6.74,286.6,rice
94,41,40,23.89,80.6,6.36,240.81,rice
90,58,56,28.09,82.39,5.97,151.28,rice
118,53,57,20.87,72.09,6.74,179.8,rice
85,53,51,26.55,79.0,6.96,163.65,rice
80,49,40,26.65,71.13,6.46,246.26,rice
83,55,58,26.23,82.15,5.75,173.7,rice
97,44,43,28.19,74.9,6.44,163.94,rice
115,41,47,20.19,81.19,6.23,162.54,rice
90,50,50,23.5,79.89,7.0,194.18,rice
111,47,41,20.68,86.76,6.54,161.38,rice
81,45,59,23.79,71.48,6.38,225.27,rice
93,48,48,25.34,71.02,6.84,262.19,rice
109,58,49,29.75,70.45,5.89,209.12,rice
114,56,58,25.99,80.91,5.65,246.63,rice
82,41,53,22.97,72.97,6.59,262.2,rice
99,51,43,25.57,79.05,5.51,190.47,rice
103,54,52,23.51,81.2,5.88,267.06,rice
90,52,56,28.15,76.36,6.85,168.34,rice
110,43,40,25.68,83.65,6.1,221.65,rice
114,48,51,27.12,76.81,6.6,228.79,rice
103,45,57,25.68,89.15,5.71,277.84,rice
96,59,56,29.59,87.92,6.6,245.69,rice
108,53,48,28.44,81.83,6.68,171.61,rice
93,40,54,20.44,71.8,5.59,253.06,rice
99,54,40,29.84,70.51,6.32,225.27,rice
92,47,44,23.01,88.57,5.72,180.89,rice
96,57,51,23.24,87.51,5.83,225.77,rice
85,46,52,28.97,72.08,5.98,270.96,rice
105,45,40,28.06,82.82,5.9,159.82,rice
100,56,49,27.45,73.4,6.02,277.41,rice
111,46,45,22.36,87.38,5.59,245.66,rice
84,53,59,20.14,70.31,6.63,281.05,rice
102,49,58,28.25,81.12,6.23,268.52,rice
104,46,58,29.45,87.18,6.6,249.5,rice
114,59,58,26.01,80.36,5.9,161.76,rice
97,47,53,28.71,80.18,5.84,261.49,rice
83,46,42,22.48,84.02,5.59,267.08,rice
114,45,59,27.73,85.52,5.7,234.0,rice
102,46,48,26.33,71.35,6.34,256.65,rice
85,59,53,29.78,83.78,6.3,279.16,rice
107,55,47,22.71,76.56,6.36,171.33,rice
86,44,42,29.98,86.46,5.76,202.26,rice
81,58,58,20.86,86.17,6.98,231.58,rice
80,46,47,22.74,82.33,5.94,281.22,rice
95,52,57,25.66,83.39,5.67,163.44,rice
102,44,52,25.39,77.47,5.93,189.21,rice
105,56,47,24.63,71.97,6.45,200.03,rice
94,43,52,22.88,88.66,6.08,236.76,rice
94,57,52,24.72,72.06,5.51,276.96,rice
103,46,52,26.67,76.0,6.32,164.07,rice
110,46,46,20.88,73.62,6.52,191.69,rice
84,57,53,29.56,74.41,5.61,158.43,rice
107,47,52,24.23,73.2,6.65,240.89,rice
118,42,51,25.55,73.35,6.15,249.15,rice
114,59,53,29.34,73.96,6.04,173.52,rice
89,47,46,26.4,77.21,5.51,158.0,rice
112,55,58,26.62,77.5,6.98,242.78,rice
89,57,55,28.01,74.18,5.66,190.32,rice
103,40,51,24.77,84.87,6.39,249.85,rice
99,53,47,21.93,85.91,6.84,155.97,rice
97,55,56,27.96,88.9,6.82,298.08,rice
93,54,43,21.77,75.46,6.84,267.29,rice
107,53,42,22.03,78.55,6.71,275.01,rice
106,58,48,29.4,78.57,6.68,194.78,rice
103,46,44,23.26,84.46,6.09,211.58,rice
105,45,43,25.51,82.87,5.65,159.48,rice
100,47,53,25.77,89.39,5.89,167.62,rice
89,46,47,26.35,88.45,5.96,232.23,rice
84,50,50,21.07,73.15,5.86,260.17,rice
97,57,51,25.7,86.14,5.98,273.06,rice
105,50,46,20.79,86.13,6.16,217.5,rice
105,44,47,20.09,76.77,5.86,216.53,rice
80,58,59,21.29,86.07,5.53,228.16,rice
109,44,59,20.57,70.92,5.96,266.34,rice
115,42,47,24.25,80.82,6.19,271.29,rice
98,40,44,21.54,79.66,6.66,227.37,rice
109,55,55,27.41,80.04,5.93,294.08,rice
91,52,46,26.77,86.49,5.97,272.6,rice
105,40,47,28.92,88.69,6.89,243.48,rice
106,44,42,28.34,83.17,5.86,171.97,rice
94,57,42,20.41,78.49,5.89,165.37,rice
100,42,58,24.26,72.83,6.58,206.78,rice
115,45,50,28.6,77.78,5.97,171.01,rice
88,49,40,24.23,89.49,5.53,180.68,rice
114,50,42,24.79,78.66,6.8,251.34,rice
99,53,43,25.65,77.88,5.86,269.59,rice
111,52,56,24.5,85.88,6.17,164.56,rice
84,59,42,24.71,88.05,6.69,158.74,rice
113,47,40,23.41,82.44,6.89,253.27,rice
87,51,41,21.12,77.71,6.07,247.5,rice
93,40,45,27.93,82.78,6.38,190.17,rice
97,55,51,23.27,78.51,6.76,240.56,rice
87,48,51,27.89,79.4,6.83,194.61,rice
95,41,41,23.23,73.28,5.68,237.45,rice
80,56,51,26.04,86.24,6.54,288.47,rice
82,40,46,25.5,84.77,5.6,269.11,rice
100,49,47,27.03,75.97,6.07,264.11,rice
87,53,58,26.26,79.08,6.08,260.86,rice
94,55,41,21.46,80.92,5.95,223.85,rice
89,42,45,28.71,80.55,6.54,157.84,rice
80,58,59,29.56,78.98,6.75,199.08,rice
110,48,56,26.66,83.24,5.57,159.65,rice
99,54,41,23.0,83.56,5.88,256.78,rice
97,43,57,25.43,84.36,6.96,155.86,rice
110,54,43,23.82,70.77,6.72,176.93,rice
84,50,47,25.98,75.29,6.56,169.8,rice
95,42,55,25.67,82.0,5.63,163.36,rice
95,54,50,22.72,78.74,5.74,228.27,rice
99,49,42,26.57,89.81,6.05,180.26,rice
102,49,42,25.26,88.0,6.93,262.07,rice
100,48,58,21.25,72.97,6.93,228.02,rice
81,42,59,22.55,86.75,6.6,253.25,rice
84,41,48,20.19,73.98,6.47,197.32,rice
92,54,41,24.71,82.91,6.32,210.1,rice
99,50,54,29.73,86.41,6.48,194.15,rice
98,53,55,20.4,79.55,6.95,275.35,rice
105,57,41,25.01,80.74,6.27,280.15,rice
87,48,52,25.43,78.78,6.11,238.41,rice
81,52,51,22.04,87.48,6.12,283.17,rice
61,37,39,24.83,68.86,7.26,102.31,wheat
78,42,46,14.72,64.98,7.27,62.08,wheat
63,47,38,10.54,68.25,6.58,63.54,wheat
78,30,34,12.69,54.47,7.17,59.86,wheat
62,32,46,16.97,52.21,6.08,99.71,wheat
87,34,42,23.1,51.1,6.47,90.98,wheat
86,31,46,22.39,58.67,6.37,104.05,wheat
73,43,49,24.27,65.36,6.39,65.86,wheat
82,45,39,16.15,55.38,6.07,110.91,wheat
60,44,35,15.79,57.6,7.08,95.43,wheat
66,47,49,10.59,61.19,6.02,59.05,wheat
62,44,40,24.44,64.87,6.58,83.96,wheat
84,41,31,16.21,50.76,7.08,105.42,wheat
64,39,39,12.11,64.0,7.05,105.07,wheat
85,47,42,12.96,59.53,6.39,118.15,wheat
70,32,46,21.94,58.69,7.06,108.99,wheat
75,42,31,12.85,67.65,7.07,70.94,wheat
89,48,39,23.74,64.15,6.32,95.31,wheat
89,31,35,16.58,67.64,6.63,51.15,wheat
76,31,34,15.14,60.92,6.07,93.36,wheat
86,39,38,13.13,57.44,6.75,76.14,wheat
65,35,40,15.19,66.93,7.21,77.14,wheat
61,45,37,24.16,68.91,6.62,117.37,wheat
78,30,36,24.77,63.91,6.93,69.61,wheat
69,45,38,12.69,59.42,6.07,95.49,wheat
65,38,46,21.69,64.76,6.1,60.3,wheat
78,44,38,19.92,68.46,6.46,74.51,wheat
77,32,38,24.37,66.96,7.02,117.34,wheat
85,42,40,16.04,67.47,6.92,75.42,wheat
78,46,46,16.47,68.98,6.98,83.92,wheat
68,33,30,18.91,54.66,6.8,105.42,wheat
70,42,35,13.83,61.57,6.8,117.53,wheat
87,30,31,13.31,68.16,6.04,117.21,wheat
89,48,35,18.28,50.76,7.04,82.14,wheat
85,42,35,17.56,67.67,6.2,114.31,wheat
70,37,40,21.55,61.79,7.09,114.36,wheat
62,33,34,23.16,57.95,6.12,56.58,wheat
79,33,31,15.7,58.95,7.06,85.2,wheat
85,41,48,14.18,68.45,7.37,92.65,wheat
86,33,42,24.29,65.13,6.22,101.57,wheat
87,46,44,24.7,57.94,7.06,81.24,wheat
65,37,40,15.16,55.28,6.59,118.31,wheat
70,41,41,24.35,66.27,6.3,56.38,wheat
81,49,37,24.69,61.87,6.03,81.09,wheat
87,44,43,19.44,51.04,6.34,69.96,wheat
66,46,36,19.05,64.48,6.72,69.41,wheat
69,46,48,21.92,57.72,6.07,103.03,wheat
68,40,44,14.59,59.46,7.03,108.04,wheat
73,45,48,18.77,62.69,6.45,69.04,wheat
89,48,45,19.94,51.68,7.4,57.27,wheat
82,33,48,24.98,60.99,6.68,50.64,wheat
60,45,47,10.39,58.49,6.72,115.94,wheat
76,37,47,10.53,62.1,6.09,84.19,wheat
60,43,39,18.46,57.67,6.18,66.08,wheat
87,32,38,22.79,68.56,6.59,92.42,wheat
84,39,31,10.69,56.26,6.56,90.6,wheat
71,38,42,17.62,61.92,6.95,61.11,wheat
76,49,31,24.73,58.54,6.93,94.6,wheat
83,42,44,21.7,59.42,6.99,109.57,wheat
71,37,48,17.03,69.23,6.06,80.64,wheat
72,32,41,23.15,51.97,6.22,87.36,wheat
79,48,44,11.08,65.18,7.17,59.17,wheat
63,34,45,16.39,55.45,6.56,72.92,wheat
79,42,37,21.6,65.58,6.33,58.33,wheat
68,39,38,17.61,51.28,6.94,105.97,wheat
69,46,44,18.18,53.18,7.32,100.47,wheat
64,30,44,15.31,57.25,6.95,67.32,wheat
65,38,42,19.76,52.86,6.19,79.12,wheat
88,35,37,21.67,54.87,6.48,71.03,wheat
65,49,37,22.71,66.5,7.04,113.46,wheat
65,43,47,19.11,54.59,6.09,78.64,wheat
84,31,44,24.52,63.85,7.08,71.17,wheat
78,45,31,24.6,50.94,7.41,100.43,wheat
69,40,48,16.59,55.85,6.34,89.72,wheat
74,32,47,18.38,51.65,6.14,89.18,wheat
64,46,35,19.5,64.86,6.76,53.06,wheat
74,32,36,16.41,64.73,6.13,60.46,wheat
69,38,35,20.39,59.74,6.94,65.89,wheat
86,33,40,23.31,63.44,7.4,68.77,wheat
88,37,43,19.91,59.07,7.14,104.74,wheat
73,31,36,14.86,54.69,6.8,102.89,wheat
80,34,45,11.28,57.12,6.15,98.87,wheat
73,39,31,19.25,63.5,7.14,72.43,wheat
78,46,38,17.1,64.61,6.65,89.16,wheat
85,42,43,16.64,57.92,6.86,55.31,wheat
89,32,45,20.52,61.64,6.42,55.07,wheat
86,48,47,16.09,57.42,6.36,63.16,wheat
62,33,33,17.64,61.46,6.32,113.14,wheat
74,35,33,23.62,52.15,7.4,66.4,wheat
66,46,30,22.22,51.2,6.18,80.89,wheat
71,33,39,23.95,68.55,6.51,93.88,wheat
83,32,42,18.34,50.12,6.39,65.61,wheat
83,32,34,13.22,52.18,7.02,58.58,wheat
82,41,30,10.26,59.52,6.88,78.82,wheat
88,49,36,17.61,69.49,6.93,90.37,wheat
77,43,37,15.85,61.84,7.39,68.3,wheat
84,38,35,22.98,63.41,7.43,52.52,wheat
68,38,44,12.8,54.03,7.21,74.88,wheat
78,33,48,20.6,69.35,6.13,52.98,wheat
64,47,48,16.52,68.36,6.17,79.32,wheat
75,30,32,23.21,63.81,6.62,63.22,wheat
85,30,33,15.89,65.4,6.95,110.47,wheat
62,39,40,15.97,59.39,6.57,57.14,wheat
78,34,49,20.05,50.29,6.29,97.64,wheat
75,34,31,19.71,52.87,7.13,110.97,wheat
73,47,42,11.69,54.38,7.12,63.0,wheat
64,40,39,13.76,66.12,6.22,69.43,wheat
63,44,34,14.57,53.56,7.24,105.53,wheat
88,47,30,13.02,56.77,6.83,96.34,wheat
86,33,47,12.25,68.18,6.06,116.21,wheat
74,39,37,16.7,52.26,6.38,83.96,wheat
79,47,40,17.02,51.18,7.12,96.05,wheat
85,32,43,18.02,53.61,6.76,72.82,wheat
78,38,49,24.97,63.92,6.97,67.64,wheat
76,44,39,19.66,57.91,6.93,68.28,wheat
63,38,37,18.26,56.15,6.26,84.48,wheat
65,37,36,11.3,68.36,6.88,50.48,wheat
82,34,37,20.08,57.88,7.42,53.0,wheat
88,48,37,16.66,60.61,6.86,54.54,wheat
89,39,41,13.55,68.01,6.49,73.04,wheat
75,44,46,11.11,59.01,6.27,62.12,wheat
82,48,39,15.92,59.19,6.54,107.44,wheat
69,43,47,24.6,58.97,6.84,113.25,wheat
63,30,36,19.47,56.55,6.32,90.79,wheat
74,32,32,16.27,52.52,6.42,75.39,wheat
61,49,48,24.75,58.36,7.48,83.52,wheat
60,42,44,16.66,66.2,6.68,98.98,wheat
68,43,38,17.44,59.22,7.2,80.39,wheat
63,47,41,20.55,66.75,6.58,110.72,wheat
73,33,44,16.73,53.0,6.95,57.08,wheat
84,45,38,23.74,60.67,6.52,83.13,wheat
88,34,37,23.31,60.27,6.18,114.16,wheat
84,35,49,20.21,51.34,6.05,88.13,wheat
60,35,34,20.58,64.5,6.26,105.63,wheat
81,32,37,19.13,54.73,6.9,114.66,wheat
78,40,32,12.6,67.0,7.0,68.23,wheat
61,45,31,15.5,69.2,6.54,78.95,wheat
79,41,45,18.11,58.17,6.99,112.69,wheat
71,33,36,24.15,65.77,7.31,116.25,wheat
84,30,39,11.65,53.74,6.55,111.18,wheat
84,31,34,10.24,69.28,6.83,108.32,wheat
73,44,36,11.6,55.59,6.05,62.79,wheat
86,37,30,13.8,63.18,6.34,99.14,wheat
66,38,32,10.25,66.84,6.71,78.16,wheat
75,38,35,17.5,61.71,6.87,109.55,wheat
62,47,32,15.13,56.11,6.09,97.05,wheat
83,46,37,22.46,60.93,6.33,87.32,wheat
62,44,44,23.19,68.27,7.4,53.98,wheat
72,32,32,15.33,52.75,6.72,95.54,wheat
69,42,47,12.81,62.51,7.01,96.03,wheat
85,34,33,14.78,66.19,6.23,90.7,wheat
70,46,35,11.66,69.85,6.71,113.35,wheat
61,47,43,18.64,68.86,7.31,114.28,wheat
76,43,33,15.03,53.73,7.17,63.74,wheat
86,48,49,17.52,63.52,7.39,91.02,wheat
82,43,40,17.68,67.88,6.84,116.61,wheat
78,43,42,12.87,67.03,6.99,50.84,wheat
83,44,30,11.88,66.07,7.08,51.36,wheat
78,45,31,24.35,65.05,6.57,73.23,wheat
67,46,44,23.56,50.26,7.14,104.84,wheat
60,40,39,21.57,66.53,6.62,97.27,wheat
83,45,31,21.56,51.44,6.89,77.91,wheat
74,32,43,18.3,56.77,6.85,87.86,wheat
71,36,49,19.88,68.36,6.8,72.18,wheat
74,41,47,16.97,62.97,6.16,58.04,wheat
72,31,33,12.63,53.71,7.44,94.22,wheat
71,40,44,14.16,63.4,7.2,95.91,wheat
74,36,43,20.59,55.48,6.55,97.25,wheat
85,32,40,21.43,53.59,7.09,56.68,wheat
67,45,35,12.49,52.15,7.36,67.13,wheat
88,43,42,21.81,70.0,7.09,88.11,wheat
60,34,37,15.39,57.34,7.38,119.7,wheat
62,49,30,20.37,56.46,7.37,119.64,wheat
83,32,35,19.4,52.76,6.77,53.02,wheat
89,43,36,24.75,68.7,6.27,67.57,wheat
72,47,36,13.88,62.24,6.06,85.99,wheat
60,42,46,14.03,63.56,6.94,61.72,wheat
77,44,31,22.08,59.95,7.16,100.84,wheat
64,47,49,23.09,52.0,6.17,114.0,wheat
76,40,44,12.88,62.49,6.16,103.18,wheat
85,40,46,20.83,53.61,6.11,78.95,wheat
87,48,46,18.61,52.23,6.91,98.84,wheat
65,34,43,22.73,61.6,6.08,75.73,wheat
61,41,31,11.0,59.99,7.23,104.06,wheat
64,48,32,19.35,67.69,6.87,119.55,wheat
61,44,34,17.77,59.05,6.59,62.57,wheat
67,39,34,16.48,57.71,7.04,94.05,wheat
74,46,30,13.76,68.7,6.22,52.04,wheat
84,33,44,24.92,59.66,6.31,91.87,wheat
78,44,45,21.02,50.66,7.15,92.48,wheat
69,44,47,17.45,62.79,7.08,70.19,wheat
80,41,46,13.61,64.3,6.48,114.59,wheat
60,34,33,22.96,55.69,6.57,72.24,wheat
76,48,38,22.44,66.07,6.9,75.27,wheat
74,39,43,13.92,63.57,6.58,52.0,wheat
68,39,38,20.89,63.98,6.24,60.29,wheat
85,37,34,21.96,55.45,6.67,60.54,wheat
70,35,41,19.08,65.18,7.03,114.11,wheat
65,49,42,19.07,60.11,6.2,77.02,wheat
78,45,33,24.75,60.21,7.28,51.87,wheat
65,38,37,19.26,65.59,6.34,74.49,wheat
89,34,36,19.58,66.04,6.28,83.41,wheat
66,43,35,15.67,51.17,6.05,87.86,wheat
77,41,47,22.26,61.43,6.01,115.51,wheat
61,46,40,22.8,52.81,6.99,67.82,wheat
80,44,34,12.63,66.93,7.25,100.92,wheat
68,35,37,13.64,66.0,7.47,97.71,wheat
66,43,47,17.03,66.59,7.42,50.31,wheat
80,43,32,19.47,64.09,6.33,59.8,wheat
60,31,39,20.7,63.29,6.67,51.53,wheat
84,48,38,12.03,50.01,7.49,100.6,wheat
73,41,39,14.38,67.0,6.44,60.09,wheat
86,45,34,22.73,52.71,6.01,58.51,wheat
64,30,41,15.82,51.42,6.02,63.95,wheat
61,42,32,24.72,69.2,7.44,53.46,wheat
81,35,42,13.37,61.51,7.01,105.32,wheat
65,41,30,13.2,51.68,6.24,95.24,wheat
84,42,43,23.84,59.24,6.99,100.28,wheat
82,41,49,16.19,59.28,7.11,116.26,wheat
65,45,31,11.95,59.1,6.41,74.14,wheat
66,30,37,15.73,55.18,6.66,58.31,wheat
79,30,33,20.38,56.48,6.17,102.4,wheat
81,32,42,23.5,69.61,6.19,100.25,wheat
83,35,41,24.41,51.98,6.94,85.12,wheat
62,45,38,22.9,63.95,7.28,61.9,wheat
80,47,33,19.86,59.86,6.85,61.81,wheat
73,32,43,18.03,58.15,7.49,52.73,wheat
62,31,33,15.14,63.14,6.71,117.26,wheat
72,36,45,11.91,57.76,7.15,57.74,wheat
78,49,37,24.52,69.11,6.85,109.58,wheat
88,47,40,10.06,55.64,7.1,59.43,wheat
78,42,38,22.32,66.06,6.09,54.33,wheat
69,41,32,11.28,53.39,6.12,57.61,wheat
89,43,39,20.44,51.36,6.04,80.46,wheat
66,47,32,15.32,69.86,7.06,101.25,wheat
81,32,46,23.54,62.82,6.69,100.09,wheat
75,31,35,10.45,51.68,6.89,119.11,wheat
73,36,40,18.09,56.73,6.37,115.27,wheat
61,33,30,23.85,64.86,6.65,68.75,wheat
80,33,37,21.65,64.52,6.31,92.71,wheat
77,45,36,19.08,53.52,6.09,95.01,wheat
70,43,48,13.66,68.73,6.69,104.68,wheat
86,39,36,20.92,53.38,6.18,55.03,wheat
81,30,49,18.86,64.28,7.31,115.3,wheat
70,42,37,18.82,63.78,6.97,62.87,wheat
86,43,35,14.34,51.11,7.5,100.03,wheat
77,33,30,10.91,69.57,7.41,116.7,wheat
86,43,33,19.55,62.26,7.24,75.2,wheat
65,40,41,12.27,57.7,6.02,79.55,wheat
72,31,47,15.76,59.14,6.9,107.89,wheat
72,34,30,20.18,66.4,6.71,103.17,maize
63,43,31,22.78,70.22,6.82,145.87,maize
73,38,31,24.07,54.5,6.95,64.4,maize
79,42,34,21.46,61.42,6.9,71.53,maize
63,43,31,21.39,53.5,5.74,95.61,maize
73,43,48,25.11,63.31,6.81,132.57,maize
63,48,35,21.96,55.38,6.4,117.59,maize
62,39,48,22.23,74.85,6.46,71.16,maize
62,30,35,19.31,52.76,6.99,108.53,maize
64,32,47,22.93,57.26,5.72,62.16,maize
73,43,37,26.32,61.11,5.97,109.38,maize
72,31,40,24.84,54.66,5.68,138.32,maize
78,42,49,24.29,58.24,6.05,86.9,maize
56,31,36,23.43,56.9,6.91,117.53,maize
54,45,38,25.03,62.89,6.91,147.97,maize
66,31,45,21.09,54.29,6.26,111.22,maize
67,49,39,26.72,72.68,6.25,102.32,maize
75,35,31,20.27,68.0,6.23,130.57,maize
68,39,33,19.96,58.74,5.73,141.02,maize
78,38,36,26.31,73.42,6.7,99.14,maize
73,42,33,20.2,67.01,6.08,62.72,maize
79,49,32,21.03,59.93,6.45,148.72,maize
77,35,48,21.51,66.57,6.55,128.69,maize
77,31,36,26.13,70.68,6.67,76.68,maize
70,39,39,22.65,55.13,5.77,122.87,maize
60,43,40,21.96,71.82,6.53,145.0,maize
75,31,36,18.88,55.07,5.59,64.77,maize
78,31,39,19.83,59.84,6.91,100.47,maize
54,42,38,24.78,59.18,5.68,128.74,maize
52,44,39,22.86,51.95,6.79,101.96,maize
62,41,46,22.17,74.33,6.57,93.92,maize
54,44,49,26.02,62.93,5.88,102.81,maize
52,34,49,22.7,70.46,6.06,125.64,maize
51,44,46,23.35,70.63,6.88,100.81,maize
64,47,40,23.13,50.71,6.2,70.75,maize
54,39,45,19.96,50.52,5.72,81.44,maize
69,39,34,21.2,50.0,6.53,83.29,maize
62,46,38,26.96,50.56,6.65,119.9,maize
76,45,35,20.21,67.75,6.14,110.53,maize
79,31,48,23.55,54.58,5.78,64.97,maize
53,31,43,21.0,60.62,6.37,62.33,maize
79,31,49,22.13,72.83,5.91,117.49,maize
69,39,44,19.71,65.27,5.66,105.3,maize
62,31,43,21.38,74.91,6.62,121.93,maize
53,33,37,19.82,57.4,6.72,139.8,maize
68,40,32,19.47,66.09,6.06,130.44,maize
56,35,48,21.11,58.8,5.71,119.77,maize
59,42,48,22.86,59.23,6.29,66.14,maize
